Ortsname                          Breite    Laenge
Aach im Allgaeu                   47n31     9e58
Aach-Linz                         47n54     9e11
Aach/Singen                       47n50     8e51
Aachen                            50n47     6e5
Aalen                             48n50     10e5
Abbach                            48n55     12e0
Abbehausen                        53n29     8e26
Abbensen                          52n23     10e11
Abenberg                          49n14     10e57
Abensberg                         48n49     11e51
Abtsgmuend                        48n54     10e0
Achern                            48n37     8e4
Achim                             53n0      9e2
Achterwehr                        54n19     9e57
Adelebsen                         51n34     9e45
Adelsheim                         49n24     9e23
Adelzhausen                       48n21     11e8
Adenau                            50n23     6e55
Adendorf                          53n17     10e26
Adenstedt                         52n15     10e10
Adorf                             50n19     12e15
Aerzen                            52n3      9e16
Afferde Westfalen                 51n34     7e39
Afferde bei Hameln                52n6      9e25
Affing                            48n27     10e58
Aglasterhausen                    49n21     8e59
Aham                              48n32     12e28
Ahaus                             52n4      7e0
Ahlbeck                           53n40     14e11
Ahlem                             52n23     9e40
Ahlen                             51n46     7e53
Ahlenberg                         51n25     7e28
Ahlhorn                           52n54     8e14
Ahlsdorf                          51n32     11e28
Ahrensboek                        54n0      10e34
Ahrensburg                        53n40     10e14
Ahrensdorf                        52n10     14e5
Ahrensdorf bei Luckenwalde        52n19     13e12
Ahrensfelde                       52n35     13e35
Aich                              48n25     12e24
Aicha vorm Wald                   48n41     13e18
Aichach                           48n28     11e8
Aichstetten                       47n54     10e4
Aidenbach                         48n34     13e6
Ailingen                          47n41     9e29
Ainring                           47n48     12e56
Aising                            47n49     12e6
Aislingen                         48n30     10e27
Aiterhofen                        48n51     12e37
Aitrach                           47n56     10e5
Aken                              51n51     12e2
Albachten                         51n55     7e31
Albbruck                          47n35     8e7
Albersloh                         51n52     7e43
Albertshof                        52n42     13e40
Alburg                            48n52     12e32
Aldenhoven                        50n53     6e16
Aldersbach                        48n36     13e5
Aldingen                          48n5      8e41
Alf                               50n3      7e7
Alfeld bei Hildesheim             51n59     9e50
Alfeld bei Nuernberg              49n26     11e33
Algermissen                       52n15     9e58
Alken                             50n15     7e26
Allagen                           51n28     8e14
Allendorf                         51n2      8e38
Allensbach                        47n43     9e3
Allenstein                        53n48     20e29
Allersberg                        49n15     11e15
Allershausen                      48n26     11e36
Allmendingen                      48n20     9e43
Allstedt                          51n24     11e23
Alme                              51n28     8e37
Alpen                             51n35     6e30
Alpirsbach                        48n21     8e23
Alsdorf                           50n53     6e10
Alsenz                            49n43     7e49
Alsfeld                           50n45     9e16
Alsleben                          51n42     11e41
Alstaette                         52n8      6e55
Alswede                           52n20     8e33
Alt Buchhorst                     52n26     13e51
Alt Kaebelich                     53n29     13e29
Alt Stahnsdorf                    52n17     13e53
Alt Toeplitz                      52n26     12e55
Alt-Hartmannsdorf                 52n21     13e50
Altastenberg                      51n11     8e28
Altdoebern                        51n39     14e2
Altdorf                           48n34     12e7
Altdorf bei Nuernberg             49n23     11e21
Alte Grund                        52n28     13e47
Altefaehr                         54n20     13e7
Alteglofsheim                     48n55     12e12
Altena                            51n17     7e40
Altenahr                          50n31     6e59
Altenau                           51n48     10e26
Altenbeken                        51n46     8e56
Altenberg                         50n46     13e45
Altenberge                        52n3      7e27
Altenbruch                        53n49     8e46
Altenbueren                       51n23     8e30
Altenburg                         50n59     12e26
Altendorf                         51n29     7e40
Altendorf-Ulfkotte                51n38     7e0
Altenerding                       48n18     11e55
